Strings
"Projects worth over Rs 15,000 crore have been classified under the 'ultra-mega' category by the company...."
"
Buy Larsen and Toubro; target of Rs 4100: Sharekhan"
"
L&T, Siemens, Thermax, KEI top picks for Jefferies in industrial sectors"
"Earlier in this month, brokerage firm UBS shared a 'buy' rating on the counter, raising the target price to Rs 4,400 from Rs 3,600...."
"Larsen & Toubro (L&T)'s net profit during the second quarter of fiscal year 2023-24 jumped 45 percent year-on-year to Rs 3,223 crore...."
"While L&T did not disclose the exact value of the contract, it counts an order as 'mega' when it is valued above Rs 7,000 crore...."
"
Larsen Standalone December 2023 Net Sales at Rs 31,600.92 crore, up 13.73% Y-o-Y"
"
Larsen Standalone September 2023 Net Sales at Rs 28,151.12 crore, up 9.24% Y-o-Y"
"
MC Interview | Saudi Arabia has become a wider play like India for us: L&T CFO"
"
L&T shares scale 52-week high on bagging multiple orders"
"The company did not disclose the value of orders. However, according to company, the value of significant order is between Rs 1,000 crore and Rs 2,500..."
"Analysts say L&T is set to beat order inflow estimates led by bullet train, defence, and private capex in the fourth quarter of the current financial ..."
Motilal Oswal is bullish on Larsen and Toubro recommended buy rating on the stock with a target price of Rs 4200 in its research report dated February...
"
In Charts: What Jefferies, foreign investors say about power and energy stocks"
"The key orders have been secured by the power transmission and distribution business of L&T Construction, the company said...."
"
L&T scales record high on winning major contract in Saudi Arabia"
LKP Research is bullish on Larsen and Toubro has recommended buy rating on the stock with a target price of Rs 3865 in its research report dated Febru...
"
Buy Larsen and Toubro; target of Rs 4200: Motilal Oswal"
"
Larsen & Toubro bags multiple orders in India, Middle East"
"
Qatar slaps Rs 238.9-crore tax penalty on L&T"
The penalties have been imposed for the tax period between April 2016 to March 2017 and April 2017 to March 2018...
"
Buy Larsen and Toubro; target of Rs 4071: Prabhudas Lilladher"
Morgan Stanley analysts said that the commissioning of first hydrogen electrolyser would significantly bolster L&T's green offering...
"Major recipients for these tenders are L&T (Rs 3.03 crore), BHEL (Rs 1.94 crore), and Polaris Smart Metering (Rs 0.52 crore), says the report...."
"
L&T bags ultra mega offshore project worth Rs 15,000 crore in Middle East"
"As per company's classification, orders ranging between Rs 2,500 crore and Rs 5,000 crore fall in the category of large orders...."
Prabhudas Lilladher is bullish on Larsen and Toubro has recommended buy rating on the stock with a target price of Rs 4071 in its research report date...
"According to estimates, net profit is expected to jump over 30 percent on-year basis to Rs 3324.3 crore. Revenue is expected to grow 20 percent YoY...."
"L&T recorded a 45 percent jump in net profit for the second quarter of fiscal year 2023-24 at Rs 3,223 crore..."
"The multiple orders were bagged by the power transmission and distribution business of Larsen & Toubro (L&T), the company said in a filing to BSE...."
"
Infra tendering at record levels; awarding and execution for highways continue to remain slow: Report"
"
L&T bags 'significant' orders in India, overseas"
"
L&T grabs 'buy' tag from CLSA; analysts see 28% upside on healthy order pipeline"
"
Q3 Earnings Preview: L&T to gain on healthy order inflow and growth in Middle East business"
"
L&T bags 'large' orders this quarter"
"
L&T bags order to set up solar power plant in Dubai"
"
L&T stock rises on strong Q2 results, bullish analysts, but profit-booking pares gains"
"
Larsen & Toubro bags large orders in Middle East"
"
Buy Larsen and Toubro; target of Rs 3865: LKP Research"
"A broad consensus amongst US-based investors is that India’s capex cycle is on upswing, a recent report by Jefferies said..."
NULL...
Sharekhan is bullish on Larsen and Toubro has recommended buy rating on the stock with a target price of Rs 4100 in its research report dated January ...
Prabhudas Lilladher is bullish on Larsen and Toubro has recommended buy rating on the stock with a target price of Rs 3437 in its research report date...
"The company did not disclose the order value. However, according to its classification, significant orders value in the range of Rs 1,000 crore to Rs ..."
"The order has been bagged by the renewable engineering, procurement, and construction (EPC) arm of L&T's power transmission and distribution busin..."
"
L&T gains as arm to divest stake in subsidiary"
"Jefferies expects sustained growth over the next 4 quarters, despite L&T's lower YoY margins due to project mix and higher international sales...."
"
Larsen Consolidated December 2023 Net Sales at Rs 55,127.82 crore, up 18.84% Y-o-Y"
"
L&T shares hit 52-week high on UBS upgrade with 23% upside in target price"
Analysts at UBS said that L&T's strong order cycle and robust execution should lift margin prospects going ahead...
"L&T's order book stood at Rs 4,50,700 crore in the first half of FY24, up 22 percent on year from the previous fiscal...."
"
Larsen & Toubro bags mega project in Middle East"
"
Larsen & Toubro bags 'significant' orders in Middle East"
"
Larsen Consolidated September 2023 Net Sales at Rs 51,024.04 crore, up 19.32% Y-o-Y"
"
Buy Larsen and Toubro; target of Rs 3437: Prabhudas Lilladher"
Analysts see a strong flow of orders from the domestic and overseas markets...
"
L&T Q2 preview: Net profit may jump 22% on robust orders, sales growth"
"
Morgan Stanley bullish on L&T, sees 12% upsurge"
L&T CFO talks about how Mumbai infrastructure is stretched and it can't be the panacea to “every empty stomach”. There is need to shift jobs e...
