Strings
"
News Live: Pakistan allows Kulbhushan Jadhav to meet wife"
Prakash Gaba of prakashgaba.com is of the view that one may see upside in L&T....
"
L&T Infotech Q2 net profit up over 17 % to Rs 272.6 crore"
"
L&T Construction wins orders worth Rs 2400 crore"
"
Buy Larsen & Toubro, DLF, JM Financial: Ashwani Gujral"
"
Larsen & Toubro Construction bags orders worth Rs 2,170 cr"
"
Buy Larsen & Toubro; target of Rs 1350: Edelweiss"
"
L&T Q2 profit seen up 10% at Rs 1,230 cr; guidance, order inflow, asset monetisation plans key"
The 76-year-old Chairman who is set to retire about a month later plans to give away most of his assets to charity...
"Biocon, Apollo Hospitals and Bharti Infratel, among others are being tracked by investors on Thursday...."
"
IMC International to buy L&T unit for Rs 174 crore"
"
News highlights of the day: Demonetisation helped formalising large part of economy, says PM Modi"
"This is a very positive step and signals well for the country, economy as well as the business, SN Subrahmanyan, MD & CEO, Larsen and Toubro said...."
"
Sell RBL Bank, Ramco Cement; buy JSW Steel, JSPL, SCI: Mitessh Thakkar"
Larsen and Toubro today announced the bagging of Rs 3375 crore major breakthrough order from Metro Express which is owned by the government of Mauriti...
"
Hold L&T, says Gaurang Shah"
"In the transportation infrastructure business, the company bagged contracts worth Rs 725 crore...."
"
India Inc's foreign borrowings nearly halve to $1.64bn in August"
"
L&T Q2 profit up 26%; holds FY18 revenue growth guidance but won't meet order inflow target"
Larsen & Toubro said it has acquired the remaining 26 percent stake in L&T Cassidian Ltd - a joint venture between the engineering conglomerate and Ai...
"""The construction arm of L&T has won orders worth Rs 2,525 crore business segments,"" the engineering and construction major said in a BSE filing...."
"Order inflow for the quarter stood at Rs 26,352 crore, which was 10 percent higher than company's expectations, R Shankar Raman, CFO said while ad..."
"
News as-it-happened: Jayant Sinha says Paradise Papers are ""completely bogus"""
"""The buildings and factories business of L&T construction has bagged orders worth Rs 3,355 crore,"" the engineering and construction major said in a BS..."
"
Larsen & Toubro acquires full stake in L&T Cassidian"
"
L&T construction arm bags orders worth Rs 2,525 cr"
"Watch accompanying video of SN Subrahmanyan, MD & CEO at L&T addressing the Motilal Oswal Global Investor Conference...."
"
L&T Construction secures job orders worth Rs 1,975 cr"
"Sudarshan Sukhani of s2analytics.com is of the  view that one can buy Larsen & Toubro, Dalmia Bharat and Motherson Sumi and can sell Fortis Health..."
"
L&T gaining ahead of Q4 result expectations: IDBI Capital Market"
"
L&T consortium wins USD 250 mn power project in Bangladesh"
"
L&T Construction wins orders of Rs 2694 crore"
"
Like Larsen and Toubro, target Rs 1328: R Sreesankar"
"In an interview to CNBC-TV18's Prashant Nair and Ekta Batra, Dilip Bhat, Joint MD of Prabhudas Lilladher shared his reading and outlook on the mar..."
"
Buy L&T, Asian Paints, Whirlpool, Sun TV; sell Ajanta Pharma: Sudarshan Sukhani"
Mitessh Thakkar of miteshthacker.com suggests buying Larsen & Toubro and The Ramco Cements....
"
L&T Construction wins order of Rs 2903 crore"
"
L&T wins order worth Rs 1975 crore"
"
SN Subrahmanyan new CEO & MD of Larsen & Toubro"
"
L&T Q1FY18 review: Good execution but no signs of revival in capex cycle yet"
"According to Mitessh Thakkar of miteshthacker.com, one can buy Tata Motors 400 Put while he feels that L&T may slip to 1100 and the other stock that l..."
"
Larsen & Toubro bags orders worth Rs 3,355 crore"
Motilal Oswal is bullish on Larsen and Toubro has recommended buy rating on the stock with a target price of Rs 1400 in its research report dated Octo...
"L&T Hydrocarbon Engineering, a wholly owned subsidiary of engineering and construction major, Larsen and Toubro has won an order worth over Rs 1,600 c..."
"According to Manoj Murlidharan of Religare Securities, one can buy Larsen & Toubro and Apollo Tyres and expects at least 5-6 percent upmove in HDFC...."
The construction arm of Larsen and Toubro (L&T) has won orders worth Rs 4023 crore across various business segments....
Bringing you the latest news updates on the go....
Geojit Research is bullish on Larsen and Toubro Finance Holdings has recommended buy rating on the stock with a target price of Rs 200 in its research...
"
News highlights: Amit Shah confident of BJP winning 150 seats in Gujarat Assembly election"
"
L&T Q2 net jumps 32% to Rs 2,020 crore"
"
Stay invested in L&T: Shahina Mukadam"
"
Buy Larsen and Toubro; target of Rs 1580: JM Financial"
"""L&T Hydrocarbon Engineering Ltd, a wholly-owned subsidiary of L&T, has won an order worth Rs 1,600 crore from Hindustan Petroleum Corporation Ltd, Vi..."
"
L&T secures Rs 2,400 crore job orders"
"
L&T commissions 225 MW sikalbaha combined cycle power plant in Bangladesh"
"L&T has maintained its full year revenue growth guidance of 12 percent but won't be meeting order inflow guidance 12-14 percent, R Shankar Raman, ..."
"""The construction arm of L&T has won orders worth Rs 3,572 crore across various business segments,"" the engineering and construction major said in a B..."
The construction arm of L&T has won orders worth Rs 3551 crore across various business segments....
"
Stay invested in L&T, says Sharmila Joshi"
Sandeep Wagle of powermywealth.com is of the view that one can buy Larsen & Toubro and BEML....
"""L&T Hydrocarbon Engineering Ltd, a wholly-owned subsidiary of Larsen & Toubro, has won orders totalling close to Rs 4,000 crore in the international ..."
The project involves construction of a 21.8 km bridge connecting Mumbai mainland with Navi Mumbai....
"
Ola integrates services with Hyderabad Metro Rail's TSavaari app"
